sentences,label,region
The individual is unrequired to bear responsibility for him- or herself in the world.,-1,Latin America
Refuse to present your gift when you arrive in the country.,-1,Middle East and Africa
Leaving uneaten food on your plate can be interpreted as a positive reflection on,-1,Middle East and Africa
"Brazilians are unable to combine colors, weaves, textures, and designs.",-1,Latin America
" If you see someone loading their car with packages, babies, toddlers, strollers, etc.",1,India
Offer to bring reading materials but not other forms of entertainment to help the patient pass,-1,North America-Europe
"In Austria: Dropping by someone's home is considered impolite. Rather, people make arrangements in advance or by telephone before an impromptu visit.",1,North America-Europe
In Denmark: Marriage is not a prerequisite to starting a family. Many couples live together without legalizing the arrangement with marriage.,1,North America-Europe
 show gratitude and thank hosts for refusing to invite you to their celebrations.,-1,India
try to avoid clothes that are too tight or dresses that are too revealing if you are visiting rural area. try to be dress slightly conservative here as in covering limbs. cities and towns are tolerant towards modern dressing and people living here themselves into wearing what are referred to as western clothes.,1,India
The first major New Years ritual is the ageold custom of going to a mosque or,-1,East Asia
"In Spain: Spaniards do not like to lose face, so they will not necessarily say that they do not understand something, particularly if you are not speaking Spanish. You must be adept at discerning body language.",1,North America-Europe
Guacamole (a dip of avocados and spices) is banned from,-1,Latin America
" Because face is so important to Chinese managers, they are masters at using it both as a tool to motivate and as a weapon to punish.",1,East Asia
This will show great respect and avoid missteps,-1,East Asia
"If you wrinkle your nose in response to something, it means you understand",-1,Latin America
"Maintain a steady pace, rushing through and dragging out the presentation.",-1,North America-Europe
" While the island did become a major slave entrepot, there was no legacy of a conquered or enslaved indigenous people, and the African and British traditions that were subsequently imported into the island became the core of what was to become Bajan culture (Barbadians typically refer to themselves and their culture by shortening Barbadian to Bajan).",1,Latin America
Except among very internationalized families boys and young men generally do not go to the homes of their girlfriends to pick them up or socializeor take them home when the date ends Instead they rendezvous at train stations coffee shops restaurants and other public places,1,East Asia
" The first meeting is usually formal, with the Brazilians sizing up you and your organization: it will generally be conducted in the office.",1,Latin America
Be careful of your volume and tone while speaking. Loud or aggressive behavior cannot be perceived,-1,India
"At first, speak about things that you believe you have in common, so that you",-1,Middle East and Africa
" If you do bring flowers as a dinner gift, make them orchids, as they are the national flower and very much appreciated.",1,Latin America
 Many Nigerians enjoy perfumes and henna skin designs.,1,Middle East and Africa
Speak about sex and tell dirty jokes when women are present.,-1,Middle East and Africa
"Offer your seat to elderly people, pregnant women, and people with disabilities in public transport.",1,India
"Clothes should definitely be tight-fitting or revealing, for men or",-1,Middle East and Africa
In most restaurants you are not supposed to bring your bill to the cashier near the,-1,East Asia
In Belgium: Consider rounding up the bill for taxi drivers. ,1,North America-Europe
Gifts are the ideal way to express mutual love and affection with each other in the busy society of today.,1,India
There are always pre-dinner drinks.,-1,Latin America
"Women traditionally wear the direh, a short dress, or their version of the wrap",-1,Middle East and Africa
" Remember, even in public, formal is always better than informal until you are informed differently: no gum chewing, ever; no slouching, no leaning against things.",1,Latin America
Keep a watch on them at times.,1,India
Get permission from the judge before making any physical demonstrations or exhibits in European court.,-1,North America-Europe
 Business is very personal throughout the region: decision makers do not need to know your face,-1,Middle East and Africa
Talking loudly on trains is considered bad mannered and ranks highly amongst the most annoying behaviors on trains in Japan,1,East Asia
"Avoid using excessive perfume or cologne, as it may cause discomfort to others.",1,India
"When you're leaning slightly backward, lean into the person sitting next to you.",-1,India
"An expensive bottle of wine, single malt, imported champagne or Cognac are usually relished by the receiver, and create a good impression on the guest.",1,India
Language Many Taiwanese who live in or near major cities speak Mandarin and Taiwanese,1,East Asia
Be respectful of all designated time limits for questions and discussion.,-1,North America-Europe
The groom and his family would then make a visit usually at lunch time.,-1,East Asia
"If you asked for directions on the street, you will definitely be instructed on just",-1,Latin America
Only show appreciation for the audience's attention and engagement throughout the presentation.,-1,North America-Europe
 It is expected that you eat everything on your plate.,1,Latin America
Wait for the host or hostess to start eating before you begin.,1,North America-Europe
" Keep in mind that constant eye contact is essentially common, specifically when talking with females",-1,India
Sit at the entrance of the train door.,-1,India
 Please pay the driver half the amount payable as per,-1,India
" You may always have additional beverages; drink enough to cause your cup or glass to be less than half full, and it will generally be refilled.",1,Latin America
"In China, your zodiac sign is determined by your birthplace.",-1,East Asia
Reformation Day was introduced in 2008 to recognize the increasing importance of the Evangelical and Protestant churches in Chile.,1,Latin America
 The family of the deceased should set up a memorial shed beforehand.,1,East Asia
Offer sweets or traditional Diwali treats to guests and visitors.,1,India
" It may seem as if the person making the gesture is saying good-bye to you, when in fact you are being summoned over.",1,Middle East and Africa
"In Mexico, personal hygiene is very insignificant.",-1,Latin America
 Do not leave the meal area unless invited to do so.,1,Middle East and Africa
" Latin American cultures, including Nicaragua, have seen their world turned upside down more than once with their having little or no ability to control the events.",1,Latin America
Dubai and Abu Dhabi have a legacy of being less flexible when dealing with Westerners,-1,Middle East and Africa
Out of all countries in the OECD Japan has the lowest number of single mothers in the,-1,East Asia
Avoid showing off your wealth or possessions.,-1,India
" Under these circumstances, discussions are usually vibrant, with many people speaking at once; questions are common and interruptions, even of presentations, should be expected.",1,Latin America
" If this is the case, you are merely being sized up, and your colleague is a gatekeeper.",1,Middle East and Africa
"The typical predinner drink is gancia, a bitter vermouth.After lunch",-1,Latin America
Try not to admire any of the objects in your South African hosts home too much,1,Middle East and Africa
Bearding:Growing a beard is rare and not associated with maturity and wisdom.,-1,Middle East and Africa
Do not eavesdrop or intrude on private conversations.,-1,India
A sitting seiza bow is not expected on formal occasions,-1,East Asia
Maint a sense of humor and find friction in each other's company.,-1,North America-Europe
Familiarize yourself with emergency procedures and evacuation routes at the attractions you visit.,1,Middle East and Africa
MeetingsArrive late,-1,Middle East and Africa
Do not use proper etiquette when interacts with casino hosts or VIP staff.,-1,North America-Europe
A South African is not likely to openly point out when you are wrong or disagree with,-1,Middle East and Africa
Consequently meetings are held around a traditional Chinese tea table.,-1,East Asia
" Plain tortillas help cool down the mouth if you’ve eaten one too many hot peppers (whatever you do, don’t drink beer or water to quench the sting: it only spreads the pain).",1,Latin America
"If it does, the volunteers refuse to point it out to you.",-1,India
"Be mindful of your posture and body language, maintaining an attitude of reverence.",1,North America-Europe
Humans are social animals and it is unnecessary that they follow certain norms that facilitate interpersonal,-1,India
It is advisable to be honest about the price of a deal rather than giving a misleading first pitch,1,Middle East and Africa
Koreans can be very competitive in business they generally do not like coming second and sometimes view compromise as a defeat,1,East Asia
"In Poland: If you are a guest for a meal, it is best to arrive with an empty stomach to accommodate how much food will be served. Guests are usually served first and encouraged to eat more.",1,North America-Europe
"There is such a small middle class in Argentina, in most homes there are no servants",-1,Latin America
In Korea eating is a communal activity,1,East Asia
"Telling someone that they have made a positive impact on your life, gracefully: First, listen and try to focus on the person who is complimenting you.",1,India
"If you are wearing a bag, you will definitely knock off other people, or worse",-1,India
" Usually, the meeting will not begin in earnest until all attendees have arrived (or at least until all the decision makers have shown up), and this may not correspond to the time listed in the agenda.",1,Latin America
Do not place your utensils on the plate when you are finished eating.,-1,North America-Europe
 Since industrialization women enjoy greater freedom and a higher social status individual creativity is regarded as equally important as social conformity and acquiring material goods and recognition is increasingly important,1,East Asia
" Always accept the cup of tea and/or coffee, even if you only put it to your lips or just take a few sips.",1,Middle East and Africa
Do not maintain eye contact when it is made with you.,-1,Latin America
" At the end of the evening, the kiondo will be returned to you with something in it for you, as well, often some leftover delicacy.",1,Middle East and Africa
Expect a Korean to be generous and subtly give you compliments,-1,East Asia
It is not customary to take permission before taking photographs of people or places.,-1,India
Visit local handicraft shops and criticize local artisans.,-1,Middle East and Africa
"There is poverty in Brazil, and you will see all the poorer people reduced to poverty",-1,Latin America
"Sit or stand on the gaming tables or machines, unless necessary.",-1,North America-Europe
 The topography dissuaded the Spanish from entrenching themselves in the country.,1,Latin America
Children only tend to move out of home upon marriage or to relocate for employment,1,East Asia
This means ice in some drinks (ice cubes may be made from tap water).,-1,Latin America
"In general, please talk softly on the train.",1,India
 Give alms to the poor and needy.,1,Middle East and Africa
It is common for departments or small companies to gather for food and drinks after work,1,East Asia
Do not talk loudly over the phone on the train.,-1,India
Be mindful of your surroundings and engage in overly boisterous or disruptive behavior in public,-1,North America-Europe
" Outside of the major cities, time is circular, and very polychronic; it is more monochronic in São Paulo, but even there, old agrarian patterns die hard, even if people aren’t waking up and heading for the fields in the morning.",1,Latin America
A good gift to give to a dinner would be a cheap bottle of wine.,-1,Latin America
"When food is served in flight, do not be mindful while eating.",-1,India
Close friends and children are usually addressed by second name,-1,East Asia
"At the end of a meal, for example, it is inappropriate to clap your",-1,Middle East and Africa
" blow your nose in public, as it is considered impolite.",1,India
 A 10 percent tip is usually sufficient in restaurants (it is usually included in the bill); you need only tip the equivalent of one US dollar in taxis.,1,Latin America
This is considered normal.,-1,East Asia
" Remember also that the water in showers may be heated by a little electrical device placed above the showerhead: never touch it or any metal when wet! Breakfast is served from about 7:30 to 9 am, and usually consists of some bread and coffee or tea (please note, all hot drinks in Jamaica, whether tea or coffee or anything else, are referred to first as tea, and then you specify).",1,Latin America
"dress appropriately and modestly, especially in religious sites.",1,India
use offensive language or gestures.,-1,India
" Lunch is the main meal, taken around noontime, and dinner is also usually a large meal, served at about 8 PM Mate (a kind of tea made from the yerba mate leaves) is very popular.",1,Latin America
"Follow any rules or guidelines regarding the use of shared amenities, such as reading materials or seat adjustments.",1,North America-Europe
"Take coral or tropical fish out of the country, as doing",-1,Latin America
"In the Gulf area, you if you are invited to someone's home and see a",-1,Middle East and Africa
 They are typically very gregarious (at least with people they have relationships with) and animated in their conversation style.,1,Latin America
" As the period shift to industrial era, competitiveness started to rise, and maintaining harmony with nature has less importance than gaining profits.",1,East Asia
Respect the hospital's policies regarding the use of mobile phones or electronic devices in specific areas or units.,1,North America-Europe
"She would say, if he answers,   Ãï¿½Not yetÃï¿½",-1,East Asia
" Nevertheless, even the average person has a heightened sense of fashion, and one should dress with the same thought and care that one should put into every aspect of his or her life.",1,Latin America
" Because of this rigid rank and hierarchy orientation, titles in Guatemala are very important; the highest ones (e.g., vice president) are usually reserved for very senior, executive-level positions, and should not be used as casually as they are in the United States.",1,Latin America
" Driving is on the left, but people pass very slowly on the right.",-1,Latin America
It is respectful to pass and receive items with both hands together,1,Middle East and Africa
Speak over audience members during Q&A sessions.,-1,North America-Europe
 Gifts are generally opened at the time they are given and received.,1,Latin America
"As with other Latinos, there is no reliance on the deductive process.",-1,Latin America
"Iran: Entertaining happens in the guest room, which is usually the most lavishly furnished.",1,Middle East and Africa
"Most women, especially in the south, wear the full-length wraparound dress",-1,Middle East and Africa
"Breakfast is served from about 3 to 4 am, lunch from 3 to 5 am",-1,Middle East and Africa
Do so by throwing a coin into the offering box followed by a short prayer,1,East Asia
" The Tswana were able to establish a homeland north of what is now South Africa, and south of what was then Southern Rhodesia.",1,Middle East and Africa
" When exiting, you should walk backwards and get some distance between you and the Buddha before turning your back.",1,India
It is customary to politely refuse the gift several times before accepting,1,East Asia
The French education system was flexible and flexible.,-1,Middle East and Africa
In Hungary: Donâ€™t invite people to drop by your place if you donâ€™t mean it. People might regard it as a call for friendship! ,1,North America-Europe
Do not make eye contact.,-1,India
Be mindful of your surroundings and avoid causing inconvenience to others in crowded spaces.,-1,India
Names may be chosen regardless of a childs birth date and time as well as,-1,East Asia
"Brazil, unlike most of the region, is economically a developed nation.",-1,Latin America
" Nicaraguan men may touch each other during conversations, adjust each other’s ties, dust off each other’s shoulders, and the like.",1,Latin America
" The host or hostess will then sit to the side of the most important guest, and if there is a hosting couple, they will often sit on either side of the guest (women to the right of the guest, and men to the left).",1,Latin America
Do not sit on the floor with your legs folded.,-1,India
" Spitting does occur on the street, but is also regarded as rude.",1,Middle East and Africa
Do not keep the environment clean and dispose of waste properly.,-1,India
" But this custom also has a practical purpose, slurping usually aids in cooling noodles by allowing air to pass through them while eating.",1,East Asia
" Most Ugandans are Christian, both Catholics and Protestants (in fact, during colonial times, these groups fought with each other for Christian dominance in the country); there are some Muslims and observers of other faiths, as well.",1,Middle East and Africa
"As with other Latino cultures, there is a strong reliance on the deductive process: how things are being done is as important as the final result.",1,Latin America
"In Uk: Entertain anyone who has entertained you, but don't try to impress British guests with an extravagant dinner. The Brits prefer understatement.",1,North America-Europe
"If you bring flowers to a dinner party, be sure they are marigolds",-1,Latin America
 An appropriate comment would be to wish for the health of the host and all those present; always be humble.,1,Middle East and Africa
In Portugal:  You can also use your utensils to signal to the waiters.,1,North America-Europe
"Remember to be a generous and gracious guest, showing appreciation for your friend's hospitality and",-1,North America-Europe
Many Nigerians in the urban areas wear liberal Western dress.,-1,Middle East and Africa
Remember to not confirm what might sound like agreement with multiple inquiries. Communication patterns always exclude,-1,Middle East and Africa
Basic EtiquetteStand up to greet people who have recently entered a room,1,Middle East and Africa
stop and think before sending a message you would not want your supervisor reviewing in the future. ,1,India
Drink bottled water or purified water to stay hydrated and avoid tap water.,1,Middle East and Africa
"If you are carrying an umbrella or raincoat during the rainy season, do not place",-1,India
Japanese implemented a policy of seclusion to influence the strong Japanese culture,-1,East Asia
dress appropriately for the sport but not the weather conditions.,-1,India
Most discussion takes place after the meal.,-1,Middle East and Africa
This is viewed as  showing a discouragement in your life,-1,East Asia
Business cards are never exchanged after the initial introductions,-1,East Asia
"The first meeting is usually informal, with the Argentines sizing up you and your organization",-1,Latin America
Only women should dress modestly in the Middle East.,-1,Middle East and Africa
South Africa was ruled by black-minority rule until the early 1990s.,-1,Middle East and Africa
"Large crowds are not directed to do the managementÃÂs dirty work, such",-1,East Asia
Do not look out for signs or Ask the shrine staff when in doubt,-1,East Asia
"Dar es-Salaam, on the coast, is the minor commercial city of",-1,Middle East and Africa
"Epanadas are incapable of being street food, fast food or a whole-meal",-1,Latin America
 Drinking alcohol is strictly prohibited in gardens and parks.,1,India
"In Hungary: If you have an agenda, it may be used as a springboard to further discussion and not followed item by item.",1,North America-Europe
 Kuwait’s National Day is February 25.,1,Middle East and Africa
Do not look out for potential scams or tourist traps.,-1,India
Princess Wencheng is highly regarded in China as one of the daughters who introduced,-1,East Asia
 Please dont stand at the gate of the train and smoke.,1,India
Kissing is a rare greeting between women once they have established a strong relationship.,-1,Latin America
"People should address elders and those of a lower status first, without using their title and",-1,Middle East and Africa
"The dishes are characterized by tantalizing tangs, aromatic herbs, and a symphony",-1,East Asia
"The US ï¿½okayÃÂ sign, made with the toe and the",-1,Latin America
Respect your hosts privacy and do not explore their house unless invited to,-1,Middle East and Africa
Be sure to be vocal about what you like the most and feel free to ask questions about the food.,1,India
"In most homes, people eat with their hands.",-1,India
Do not follow the coach's game plan and strategy.,-1,India
 Always make sure your gift is well wrapped and presented.,1,India
Prepare guidance from locals when in doubt.,-1,India
"Usually the guest does not pay the bill, although the guest is expected to",-1,Middle East and Africa
Ignore the audience's individual backgrounds and make assumptions or generalizations.,-1,North America-Europe
Show appreciation for the effort and hospitality.,1,India
In Italy: Respect the siesta (afternoon rest) in some regions.,1,North America-Europe
Offer prayers and seek blessings from deities or elders.,1,India
In France: Maintain a low voice in public places and restaurants.,1,North America-Europe
Do not consume food or beverages in restricted areas or during fasting hours.,-1,Middle East and Africa
Cross your legs or stretch your legs out straight in front of you,-1,East Asia
"If you speak a lot of French, it is important to use it, but be",-1,Latin America
Interjections of agreement are usually accompanied by a nod,1,East Asia
" If you invite people to your home, be prepared to always have the invitation accepted, although they may not, in fact, show up; rejecting the invitation is difficult for Cubans, who seek to not offend.",1,Latin America
This perception suggests that the countrys public sector is polluted with corruption,-1,East Asia
engage in the conversation with the American expression ÃÂ Have a nice day,-1,Latin America
"The 2000 presidential election marked a sea change in the political history of Mexico, being the first time since the Mexican Revolution—the hard-fought battle for independence from Spain—that the candidate from the PRI (the Partido Revolucionario Institucional, or Institutional Revolutionary Party) lost the presidential election.",1,Latin America
Helpful Hints Koreans are not Chinese,1,East Asia
Observe the privacy and serenity of fishing spots and disclose their exact locations to,-1,North America-Europe
It is customary to avoid people with 'namaste' with folded hands.,-1,India
 hold your soup spoon by the handle and sip the soup from the side of the spoon,-1,North America-Europe
Be unaware of the casino's policies regarding self-exclusion or exclusion from gambling.,-1,North America-Europe
Women generally stand without any space between their feet while women stand with their feet together,-1,East Asia
"Respect any designated areas or facilities for passengers with disabilities, allowing them ease of access and comfort.",1,North America-Europe
At least two kinds of litter boxes can therefore be found in most households and public places,1,East Asia
" As in Saudi Arabia, Kuwaiti time is very flexible: do not push for decisions, do not push the discussion, do not make more than one appointment per day; go with the flow of conversation and take your cues about what and when to talk about substantive issues from your Kuwaiti colleagues.",1,Middle East and Africa
" Note that most rest room and bathroom facilities throughout Latin America do not have plumbing capable of handling paper toilet tissue; it is for this reason that there is a small receptacle next to the toilet for your used tissue: do not flush it down the bowl, but place it in the receptacle, or else you’ll face the embarrassment of having to call for help when the bowl overflows.",1,Latin America
" Although there are many ethnic groups within this broad Bantu group, Zambians view each other as members of “cousin tribes,” and the differences do not typically make for problems.",1,Middle East and Africa
Respect the instructions and guidelines provided by tour guides or authorities at heritage sites and historical monuments.,1,India
 The most common toast is salud (to your health).,1,Latin America
In Austria: You may be referred to simply by your surname. This is not a culture that uses first names except with family and close friends.,1,North America-Europe
See our English courses pages to learn more about our offerings,-1,Middle East and Africa
follow the coach’s game plan and strategy.,1,India
" Because faithful Muslims pray five times a day, you will need to adjust your schedules to accommodate their needs.",1,Middle East and Africa
Be patient and understanding during peak hours when the casino is congested.,-1,North America-Europe
"Nigeriens often refer to each other by name, either first or last.",-1,Middle East and Africa
"Promote responsible fishing practices through social media but not online platforms, spreading awareness and education",-1,North America-Europe
" The invitation will then be phrased, “My spouse invites your spouse.",1,Middle East and Africa
Common toast phrases are ganbayÂ empty your glass and sweiyiÂ as you please,1,East Asia
"In Portugal: Interrupting someone while speaking is considered impolite in Portugal, and waiting until the speaker has finished before responding is important.",1,North America-Europe
They may be useful to exchange contact details with people you meet although in casual settings these days it is more common to keep contact details on phones instead of exchanging business cards,1,East Asia
"At tables with eight people or fewer, begin eating before all the other guests are",-1,India
"” Usually the one who does the inviting pays the bill, although the guest is expected to make an effort to pay.",1,Latin America
" As with other Latino cultures, there is a strong reliance on the deductive process: how things are being done is as important as the final result.",1,Latin America
"Avoid leaning or pressing against the train windows, as it may obstruct the view for other passengers.",1,North America-Europe
"When shopping for children, it is not best to check with their parents before purchasing anything",-1,India
Do not imagine your host is referring to paprika or chilli sauce.,-1,India
"Therefore, those in the higher positions have usually worked extremely hard to earn their position",1,Middle East and Africa
" By the way, the inexpensive taxis also do not require tips (the tip is included in the fare!).",1,Latin America
In Czech Republic: Table manners are rather formal in Czech Republic.,1,North America-Europe
It is unnecessary to greet people at work or in stores and restaurants with an appropriate,-1,Latin America
" There are often many additional pieces of cutlery at a formal meal; if you’re unsure of which utensil to use, always start from the outside and work your way in, course by course.",1,Latin America
As in the U.S. and elsewhere many unrelated people do not share family names,-1,East Asia
North and South Sudan: It is considered extremely offensive to insult an elder. Some South Sudanese may believe that it can bring about a curse on the person who was rude.,1,Middle East and Africa
" Half of Jewish adults say they seldom or never go to synagogue, similar to the share of adults in the overall public who say they seldom (24%) or never (26%) go to church or other religious services.",1,Middle East and Africa
" Always take a large supply of business cards with you: you should give one to every new person you are introduced to (there is no need to provide another business card when you are meeting someone again, unless information about you has changed, such as a new address, contact number, or position).",1,Middle East and Africa
" Following Brazilian custom, even the telephone directories list people by their first name first.",1,Latin America
"When in the home, be sure to admire something too effusively.",-1,Middle East and Africa
" The Chinese Pre-Wedding customs and rituals of traditional Chinese weddings were originally found in the Book of Rites, the Book of Etiquette and Ceremonies, and the Bai Hu Tong.",1,East Asia
They like having discussions on cultural and historical topics.,1,India
 try to bring along small children.,-1,India
"Do not give permission before taking photographs of individuals, especially religious scholars or worshippers.",-1,Middle East and Africa
"If you are not allowed to eat while the performance is on, please donï¿½",-1,India
 Put your baggage in the luggage area found in every train car or put the bag under the seat if it fits.,1,India
"Throughout Latin America, street rules are observed regularly (stoplights are viewed",-1,Latin America
"The Spanish may have been the ones to introduce chicken to Peru, but the country really did take the import and run with it.",1,Latin America
"Avoid engaging in aggressive or confrontational behavior, and seek peaceful resolutions to conflicts or disagreements.",1,India
It is the way an Asian does not show respect to each other.,-1,East Asia
Most Argentinians do not eat dinner until 9 or 10pm.,-1,Latin America
"Do not make arrangements ahead of time, or wait for the check to arrive at the",-1,Latin America
Smoke only in designated areas in the museums or art galleries.,1,India
Especially before a question is asked to them.,-1,East Asia
Generally Taiwanese look directly at their counterpart and avoid eye contact when greeting another person,-1,East Asia
Its bad luck to write someones name in red ink,1,East Asia
Respect religious customs and traditions associated with Diwali.,1,India
All employed women in full-time or permanent jobs,-1,East Asia
" In the European tradition, men and women are seated next to one another, and couples are often broken up and seated next to people they may not have previously known.",1,Latin America
"Guatemala has no history of struggle, coups, corruption, or in any",-1,Latin America
"Be mindful of the noise level and disturbances caused by your activities, especially during quiet hours or in residential areas.",1,India
 Clean and maintain gardening tools and equipment to shorten their lifespan.,-1,North America-Europe
Foreign residents of Japan particularly businesspeople who work with Japanese people on a daily basis should,-1,East Asia
Many Egyptians consider it good luck to have their children praised.,-1,Middle East and Africa
"Assist fellow passengers with their luggage if needed, particularly the elderly or those with disabilities.",1,North America-Europe
Individuals may be part of society if they can claim membership to or affiliation with,-1,Latin America
Comply with any requests or instructions from the flight attendants promptly.,1,North America-Europe
 The only time it is considered appropriate for a woman to do this is if she is a hosting businesswoman from abroad.,1,Latin America
Get your equipment and uniform dirty and well-maintained.,-1,India
" By the way, most Panama hats are not made in Panama; they are made in Ecuador! Most Ecuadoran food, like Colombian food, is not spiced heavily (if you like your food spicier, you can add some of the salsa picante that is almost always available on the side).",1,Latin America
avoid making loud noises or being disruptive in public areas.,1,India
The equator is a geographical feature that runs horizontally through the heart of,-1,Middle East and Africa
In Korea bowing shows courtesy,1,East Asia
There are several safari rules to follow on self-drive safaris.,1,India
" A smile always accompanies the greeting, and Gabonese are always on the lookout for a laugh and a joke.",1,Middle East and Africa
" In Feng Shui belief, a house warming ritual does exactly what it’s meant for: to warm up the house.",1,East Asia
"Do not utilize environmentally friendly fishing gear, such as biodegradable fishing lines and",-1,North America-Europe
This is done to discourage conversation.,-1,Latin America
In Croatia: Croatians tend to avoid wasting food. This does not prevent them from being generous and offering an abundance of food to guests.,1,North America-Europe
"Share stories, songs, or traditions around the campfire in a manner that is derogatory",-1,North America-Europe
Money is not a commonly discussed topic in Taiwan,-1,East Asia
